feature_29,feature_10,feature_12,feature_11,feature_9,feature_16,feature_2,feature_18,feature_21,feature_6,feature_8,feature_1,feature_4,feature_7,feature_23,feature_14,feature_24,feature_28,feature_26,feature_13,feature_17,feature_27,feature_19,feature_30,feature_20,feature_5,feature_3,feature_22,feature_25,feature_15,diagnosis
0.3792,0.06082,0.9849,0.5058,0.1842,0.04061,17.89,0.01282,20.42,0.1292,0.06606,15.78,781.0,0.09954,136.5,54.16,1299.0,0.181,0.5609,3.564,0.02791,0.3965,0.02008,0.1048,0.004144,0.0971,103.6,27.28,0.1396,0.005771,M
0.3176,0.078,3.568,0.9555,0.2397,0.08297,24.8,0.0409,20.96,0.2458,0.1118,19.17,1123.0,0.2065,151.7,116.2,1332.0,0.1767,0.3903,11.07,0.0889,0.3639,0.04484,0.1023,0.01284,0.0974,132.4,29.94,0.1037,0.003139,M
0.2809,0.05338,1.078,0.4033,0.1847,0.03126,23.95,0.01992,16.84,0.1002,0.05364,15.85,782.7,0.09938,112.0,36.58,876.5,0.1119,0.1924,2.903,0.05051,0.2322,0.02981,0.06287,0.003002,0.08401,103.7,27.66,0.1131,0.009769,M
0.3596,0.07682,1.169,0.2121,0.2069,0.05936,22.61,0.01628,15.03,0.2293,0.08025,13.73,578.3,0.2128,108.8,19.21,697.7,0.2208,0.7725,2.061,0.05501,0.6943,0.01961,0.1431,0.008093,0.1131,93.6,32.01,0.1651,0.006429,M
0.4218,0.07077,1.033,0.37,0.2303,0.0424,27.54,0.0109,17.46,0.1595,0.07364,14.54,658.8,0.1639,124.1,32.55,943.2,0.1712,0.6577,2.879,0.04741,0.7026,0.01857,0.1341,0.005466,0.1139,96.73,37.13,0.1678,0.005607,M
0.3029,0.05922,1.24,0.4727,0.1586,0.01162,20.13,0.01109,19.07,0.072,0.05259,14.68,684.5,0.07395,123.4,45.4,1138.0,0.1609,0.1871,3.195,0.01998,0.2914,0.0141,0.08216,0.002085,0.09867,94.74,30.88,0.1464,0.005718,M
0.3706,0.07356,1.073,0.5692,0.2164,0.02501,20.68,0.01297,20.96,0.2022,0.1028,16.13,798.8,0.1722,136.8,54.18,1315.0,0.2073,0.4233,3.854,0.03188,0.4784,0.01689,0.1142,0.004142,0.117,108.1,31.48,0.1789,0.007026,M
0.2768,0.05395,1.017,0.7582,0.1582,0.01893,22.15,0.01521,27.32,0.1027,0.09498,19.81,1260.0,0.1479,186.8,112.4,2398.0,0.2388,0.315,5.865,0.03391,0.5372,0.01356,0.07615,0.001997,0.09831,130.0,30.88,0.1512,0.006494,M
0.2977,0.05766,0.7886,0.2699,0.1885,0.0146,14.36,0.01315,15.11,0.08129,0.04781,13.54,566.3,0.06664,99.7,23.56,711.2,0.1288,0.1773,2.058,0.02387,0.239,0.0198,0.07259,0.0023,0.09779,87.46,19.26,0.144,0.008462,B
0.3184,0.06811,0.7477,0.1852,0.1967,0.01898,15.71,0.00649,14.5,0.127,0.0311,13.08,520.0,0.04568,96.09,14.67,630.5,0.07283,0.2776,1.383,0.01698,0.189,0.01678,0.08183,0.002425,0.1075,85.63,20.49,0.1312,0.004097,B
0.245,0.06905,0.9768,0.2773,0.1815,0.01432,12.44,0.01421,10.23,0.06492,0.02076,9.504,273.9,0.02956,65.13,15.7,314.9,0.06227,0.1148,1.909,0.01985,0.08867,0.02027,0.07773,0.002968,0.1024,60.34,15.66,0.1324,0.009606,B
0.4667,0.07032,0.7096,0.4388,0.2521,0.05328,14.26,0.02252,18.07,0.2135,0.09756,15.34,704.4,0.2077,125.1,44.91,980.9,0.2393,0.5954,3.384,0.06446,0.6305,0.03672,0.09946,0.004394,0.1073,102.5,19.08,0.139,0.006789,M
0.2822,0.05278,1.127,0.6917,0.1769,0.01259,23.04,0.01038,29.17,0.1022,0.08632,21.16,1404.0,0.1097,188.0,93.99,2615.0,0.2009,0.26,4.303,0.01715,0.3155,0.01083,0.07526,0.001987,0.09428,137.2,35.59,0.1401,0.004728,M
0.3613,0.0633,0.9017,0.8068,0.1995,0.01882,21.38,0.0113,26.46,0.1457,0.0917,16.65,904.6,0.1525,177.0,102.6,2215.0,0.2095,0.3578,5.455,0.02741,0.4695,0.01468,0.09564,0.002801,0.1121,110.0,31.56,0.1805,0.006048,M
0.4066,0.07413,0.976,1.046,0.304,0.03799,16.4,0.02397,22.25,0.2276,0.1401,17.14,912.7,0.2229,152.4,111.4,1461.0,0.255,0.3949,7.276,0.03732,0.3853,0.02308,0.1059,0.007444,0.1186,116.0,21.4,0.1545,0.008029,M
0.4264,0.06924,0.9832,0.2545,0.2252,0.03055,21.53,0.01352,17.62,0.1868,0.08783,14.58,644.8,0.1425,122.4,21.05,896.9,0.2701,0.6643,2.11,0.02681,0.5539,0.01454,0.1275,0.003711,0.1054,97.41,33.21,0.1525,0.004452,M
0.2341,0.05699,1.849,0.8529,0.1697,0.02722,20.25,0.01911,21.31,0.1066,0.07731,18.61,1094.0,0.149,139.9,93.54,1403.0,0.149,0.2117,5.632,0.05081,0.3446,0.02293,0.07421,0.004217,0.0944,122.1,27.26,0.1338,0.01075,M
0.4027,0.0654,1.012,0.439,0.1926,0.03057,25.27,0.01083,20.27,0.1697,0.08751,15.3,732.4,0.1683,149.3,43.5,1269.0,0.2024,0.611,3.498,0.03576,0.6335,0.01768,0.09876,0.002967,0.1082,102.4,36.71,0.1641,0.005233,M
0.2756,0.06149,0.8225,0.6003,0.1739,0.03033,15.05,0.01354,20.01,0.1157,0.07953,17.57,955.1,0.09875,134.9,61.1,1227.0,0.1456,0.2812,4.655,0.03407,0.2489,0.01925,0.07919,0.003742,0.09847,115.0,19.52,0.1255,0.005627,M
0.3444,0.06197,1.466,0.8307,0.2183,0.03374,25.11,0.01158,23.15,0.1887,0.1244,18.63,1088.0,0.2319,160.5,105.0,1670.0,0.1848,0.4257,5.574,0.05196,0.6133,0.02007,0.09782,0.00456,0.1064,124.8,34.01,0.1491,0.006248,M
0.4761,0.07799,1.03,0.4825,0.2301,0.03414,18.7,0.01044,16.82,0.1516,0.05182,11.84,440.6,0.1218,119.4,41.0,888.7,0.1546,0.5775,3.475,0.04205,0.6956,0.02273,0.1402,0.005667,0.1109,77.93,28.12,0.1637,0.005551,M
0.353,0.06382,1.398,0.6009,0.2248,0.03082,23.98,0.01112,20.88,0.1496,0.1203,17.02,899.3,0.2417,136.1,67.78,1344.0,0.1847,0.3559,3.999,0.05042,0.5588,0.02102,0.08482,0.003854,0.1197,112.8,32.09,0.1634,0.008268,M
0.3672,0.06261,0.6062,0.5558,0.1853,0.03318,26.47,0.009643,24.15,0.1719,0.07593,19.27,1162.0,0.1657,161.4,68.17,1813.0,0.1785,0.659,3.528,0.03497,0.6091,0.01543,0.1123,0.003896,0.09401,127.9,30.9,0.1509,0.005015,M
0.427,0.06515,0.6857,0.334,0.1998,0.02868,17.88,0.009067,20.21,0.1559,0.07752,16.13,807.2,0.1354,132.7,35.03,1261.0,0.1864,0.5804,2.183,0.02664,0.5274,0.01703,0.1233,0.003817,0.104,107.0,27.26,0.1446,0.004185,M
0.4863,0.05656,0.9197,0.4615,0.1896,0.02499,21.59,0.01195,20.01,0.1336,0.06018,16.74,869.5,0.1348,133.5,45.19,1229.0,0.1813,0.3835,3.008,0.03695,0.5409,0.02789,0.08633,0.002665,0.0961,110.1,29.02,0.1563,0.005776,M
0.3591,0.06125,1.019,0.286,0.1885,0.02995,21.72,0.01161,15.89,0.1098,0.05598,14.25,633.0,0.1319,116.2,24.91,799.6,0.1447,0.4238,2.657,0.04815,0.5186,0.02028,0.1014,0.004022,0.09823,93.63,30.36,0.1446,0.005878,M
0.1987,0.05863,2.342,0.1839,0.1467,0.004899,18.42,0.01164,13.3,0.03766,0.02923,13.03,523.8,0.02562,84.46,14.16,545.9,0.05013,0.04619,1.17,0.01343,0.04833,0.02671,0.06169,0.001777,0.08983,82.61,22.81,0.09701,0.004352,B
0.1565,0.05504,2.188,1.214,0.1565,0.01094,25.2,0.01917,14.99,0.05131,0.02899,14.99,698.8,0.02398,95.54,106.0,698.8,0.02899,0.05131,8.077,0.01818,0.02398,0.007882,0.05504,0.001754,0.09387,95.54,25.2,0.09387,0.006883,M
0.2807,0.06419,0.5914,0.213,0.172,0.02239,20.82,0.01262,15.53,0.1255,0.05439,13.48,559.2,0.1063,107.3,18.52,740.4,0.2258,0.4225,1.545,0.03049,0.503,0.01377,0.1071,0.003187,0.1016,88.4,26.02,0.161,0.005367,M
0.2994,0.05587,0.8265,0.2385,0.1784,0.01102,21.58,0.006881,15.93,0.06031,0.02031,13.44,563.0,0.0311,102.5,20.53,787.9,0.1112,0.2043,1.572,0.0139,0.2085,0.0138,0.07146,0.001286,0.08162,86.18,30.25,0.1094,0.00328,M
0.2964,0.0687,1.428,0.2366,0.1895,0.01764,21.35,0.01037,12.84,0.1218,0.05669,10.95,371.1,0.1044,87.22,16.97,514.0,0.1424,0.2698,1.822,0.02595,0.4023,0.01357,0.09606,0.00304,0.1227,71.9,35.34,0.1909,0.008064,M
0.467,0.06343,1.666,0.9811,0.231,0.1006,24.81,0.02638,24.09,0.219,0.09961,19.07,1104.0,0.2107,177.4,104.9,1651.0,0.2493,0.7444,8.83,0.09723,0.7242,0.05333,0.1038,0.007646,0.09081,128.3,33.17,0.1247,0.006548,M
0.3739,0.06782,0.8249,0.3704,0.1974,0.02147,20.28,0.00956,17.38,0.1436,0.06158,13.28,545.2,0.09847,113.1,31.33,907.2,0.1492,0.3724,2.427,0.02185,0.3664,0.01719,0.1027,0.003317,0.1041,87.32,28.0,0.153,0.005072,M
0.3693,0.06177,0.6123,0.1938,0.1746,0.01384,21.81,0.006853,16.23,0.1047,0.05252,13.17,531.5,0.08259,105.5,14.49,740.7,0.1607,0.3904,1.334,0.01452,0.3728,0.01113,0.09618,0.00172,0.09714,85.42,29.89,0.1503,0.00335,M
0.3799,0.06049,0.6633,0.6289,0.1907,0.03994,17.6,0.01695,22.82,0.1686,0.1009,18.65,1076.0,0.1974,150.6,71.56,1567.0,0.2378,0.509,4.293,0.05554,0.7345,0.02428,0.09185,0.003535,0.1099,123.7,21.32,0.1679,0.006294,M
0.3105,0.06503,0.9567,0.1563,0.1769,0.01646,16.84,0.005917,8.964,0.05943,0.005917,8.196,201.9,0.01588,57.26,8.205,242.2,0.02564,0.1357,1.094,0.01588,0.0688,0.02574,0.07409,0.002582,0.086,51.71,21.96,0.1297,0.008968,B
0.39,0.06777,0.8937,0.2871,0.2128,0.02336,18.66,0.01215,15.67,0.1231,0.0734,13.17,534.6,0.1226,102.8,24.25,759.4,0.2088,0.4166,1.897,0.02905,0.5006,0.01743,0.1179,0.003643,0.1158,85.98,27.95,0.1786,0.006532,M
0.2747,0.06043,0.7294,0.2636,0.1675,0.01427,14.63,0.00566,13.76,0.09092,0.02749,12.05,449.3,0.06592,89.88,19.87,582.6,0.06548,0.2156,1.848,0.02322,0.305,0.01428,0.08301,0.002422,0.1031,78.04,20.7,0.1494,0.005488,B
0.2871,0.05718,1.353,0.2338,0.1809,0.01382,22.3,0.01184,15.15,0.07698,0.03384,13.49,561.0,0.04751,99.0,20.2,698.8,0.1282,0.1711,1.735,0.02095,0.2282,0.01641,0.06917,0.001956,0.08752,86.91,31.82,0.1162,0.004455,B
0.2433,0.05888,1.21,0.4062,0.1495,0.009758,21.6,0.007445,12.98,0.04966,0.01115,11.76,427.9,0.01657,82.98,28.47,516.5,0.03715,0.08615,2.635,0.01168,0.05523,0.02406,0.06563,0.001769,0.08637,74.72,25.72,0.1085,0.005857,B
0.2346,0.05953,0.9234,0.1872,0.1353,0.01177,16.34,0.007956,14.67,0.06059,0.01723,13.64,571.8,0.01857,96.08,14.55,656.7,0.08586,0.1582,1.449,0.01079,0.105,0.01325,0.08025,0.002551,0.07685,87.21,23.19,0.1089,0.004477,B
0.2785,0.0611,0.6329,0.2273,0.1868,0.00838,18.24,0.008,13.1,0.04751,0.01349,11.94,437.6,0.01972,83.67,17.47,527.2,0.06296,0.08906,1.52,0.01311,0.09203,0.01996,0.07408,0.002635,0.08261,75.71,21.33,0.1144,0.00721,B
0.3021,0.0631,1.593,0.8337,0.2092,0.02961,18.7,0.009222,20.6,0.1485,0.106,18.22,1033.0,0.1772,135.1,98.81,1321.0,0.1325,0.2297,4.877,0.02817,0.2623,0.02674,0.07987,0.005126,0.1148,120.3,24.13,0.128,0.003899,M
0.2675,0.05684,0.8339,0.3105,0.1616,0.0103,22.02,0.009222,18.1,0.07081,0.03334,15.1,712.8,0.05253,117.7,29.91,1030.0,0.153,0.2057,2.097,0.01603,0.2712,0.01095,0.07873,0.001629,0.09056,97.26,31.69,0.1389,0.004675,M
0.3306,0.05907,0.9591,0.3249,0.192,0.008722,18.75,0.00867,12.84,0.05473,0.02278,11.52,409.0,0.03036,81.81,23.47,506.2,0.06316,0.0872,2.183,0.01349,0.09076,0.03218,0.07036,0.002386,0.09524,73.34,22.47,0.1249,0.008328,B
0.3537,0.05961,1.193,0.7275,0.1917,0.02306,18.57,0.01538,26.14,0.1267,0.08994,19.21,1152.0,0.1323,170.1,102.5,2145.0,0.2091,0.3511,4.837,0.02945,0.3879,0.01852,0.08294,0.002608,0.1053,125.5,28.14,0.1624,0.006458,M
0.3698,0.06758,1.15,0.4226,0.2027,0.02855,21.59,0.01272,17.87,0.1365,0.08123,14.71,656.9,0.1293,115.7,40.09,985.5,0.1834,0.429,2.735,0.02572,0.3587,0.01817,0.1094,0.004108,0.1137,95.55,30.7,0.1368,0.003659,M
0.2439,0.05501,1.214,0.404,0.1819,0.008593,19.31,0.004167,14.23,0.03789,0.004167,13.05,527.2,0.000692,90.24,32.96,624.1,0.01111,0.06191,2.595,0.000692,0.001845,0.0219,0.06289,0.00299,0.0806,82.61,22.25,0.1021,0.007491,B
0.322,0.07187,0.5796,0.1559,0.1683,0.01055,11.79,0.005742,9.507,0.05272,0.007799,8.618,224.5,0.02061,59.9,8.322,274.9,0.04419,0.1239,1.046,0.01981,0.1168,0.0209,0.09026,0.002788,0.09752,54.34,15.4,0.1733,0.01011,B
0.3557,0.0696,1.441,0.5158,0.2743,0.01099,14.88,0.008193,11.02,0.08061,0.0129,10.17,311.9,0.01084,69.86,34.62,368.6,0.02579,0.09866,3.312,0.007665,0.02168,0.04183,0.0802,0.005953,0.1134,64.55,17.45,0.1275,0.007514,B
0.2972,0.06757,2.067,0.3582,0.1828,0.03162,20.98,0.009259,9.565,0.08963,0.009259,8.598,221.8,0.03,62.06,18.39,273.9,0.02778,0.1698,2.493,0.03,0.09001,0.03357,0.07712,0.003048,0.1243,54.66,27.04,0.1639,0.01193,B
0.2844,0.07292,1.268,0.7036,0.1949,0.07056,22.15,0.01848,17.67,0.2008,0.08653,14.25,645.7,0.2135,119.1,60.78,959.5,0.1785,0.6247,5.373,0.06899,0.6922,0.017,0.1132,0.006113,0.1049,96.42,29.51,0.164,0.009407,M
0.3282,0.06963,2.265,0.4098,0.2341,0.03938,13.86,0.0156,10.01,0.08751,0.0218,9.173,260.9,0.05988,65.59,23.52,310.1,0.05087,0.1678,2.608,0.04312,0.1397,0.04192,0.0849,0.005822,0.07721,59.2,19.23,0.09836,0.008738,B
0.3383,0.0659,1.178,0.4255,0.1905,0.02648,23.84,0.0129,17.09,0.1262,0.06873,12.68,499.0,0.1128,111.8,36.46,888.3,0.1716,0.4061,2.927,0.02973,0.4024,0.01635,0.1031,0.003601,0.1122,82.69,33.47,0.1851,0.007781,M
0.3321,0.06654,1.281,0.3577,0.1953,0.0231,23.94,0.01184,17.31,0.1479,0.09029,14.78,668.3,0.1267,114.6,35.24,925.1,0.1614,0.3416,2.45,0.02315,0.3024,0.019,0.08911,0.003224,0.1172,97.4,33.39,0.1648,0.006703,M
0.2878,0.06899,2.011,0.2351,0.1717,0.01755,21.01,0.009333,10.41,0.07773,0.01504,9.465,269.4,0.02172,67.03,14.2,330.7,0.06517,0.1664,1.66,0.01714,0.09412,0.02279,0.09211,0.004237,0.1044,60.11,31.56,0.1548,0.01052,B
0.24,0.05667,0.9429,0.2727,0.1516,0.009216,19.04,0.008965,12.33,0.04701,0.0223,11.31,394.1,0.03709,78.0,18.15,466.7,0.06961,0.09148,1.831,0.02063,0.1444,0.02183,0.06641,0.002146,0.08139,71.8,23.84,0.129,0.009282,B
0.4228,0.08046,1.194,0.3274,0.2111,0.08606,17.33,0.03322,10.31,0.1413,0.04375,9.029,250.5,0.313,65.5,17.67,324.7,0.175,0.4365,1.885,0.3038,1.252,0.04197,0.1175,0.009559,0.1066,58.79,22.65,0.1482,0.009549,B
0.2383,0.05653,0.8732,0.2368,0.159,0.005612,16.49,0.008662,13.46,0.05234,0.02864,12.78,502.5,0.03653,85.67,18.33,554.9,0.05882,0.07061,1.471,0.01585,0.1039,0.02254,0.0641,0.001906,0.09831,81.37,19.76,0.1296,0.007962,B
0.2551,0.05461,0.7975,0.7888,0.1582,0.01652,21.31,0.0137,24.86,0.1029,0.07951,18.94,1130.0,0.108,165.9,96.05,1866.0,0.1789,0.2336,5.486,0.02269,0.2687,0.01386,0.06589,0.001698,0.09009,123.6,26.58,0.1193,0.004444,M
0.2254,0.0898,0.8522,0.5262,0.1902,0.09368,14.64,0.01766,9.733,0.1531,0.02872,8.888,244.0,0.08606,62.56,25.44,284.4,0.04786,0.2436,3.168,0.05671,0.1434,0.02541,0.1084,0.02193,0.09783,58.79,15.67,0.1207,0.01721,B
0.3313,0.06487,1.041,0.5907,0.1927,0.05616,24.52,0.01127,23.32,0.183,0.07944,17.2,929.4,0.1692,151.6,69.47,1681.0,0.1899,0.7394,3.705,0.04252,0.6566,0.01527,0.1339,0.006299,0.1071,114.2,33.82,0.1585,0.00582,M
0.2589,0.06566,0.6205,0.2787,0.1662,0.02065,15.79,0.009206,16.57,0.128,0.05069,13.8,584.1,0.07789,110.3,23.35,812.4,0.1383,0.3542,1.957,0.01759,0.2779,0.0122,0.103,0.00313,0.1007,90.43,20.86,0.1411,0.004717,M
0.2618,0.05914,1.025,0.2505,0.172,0.01819,16.52,0.007965,14.11,0.06829,0.02272,12.31,470.9,0.03372,89.71,19.68,611.1,0.0866,0.1843,1.74,0.01826,0.1703,0.01386,0.07609,0.002304,0.09172,79.19,23.21,0.1176,0.004854,B
0.265,0.05391,1.016,0.7474,0.1798,0.02203,19.65,0.01809,19.77,0.08424,0.06638,16.07,817.7,0.09769,128.8,79.25,1223.0,0.152,0.2045,5.029,0.035,0.2829,0.0155,0.06387,0.001948,0.09168,104.1,24.56,0.15,0.01082,M
0.271,0.06641,1.014,0.4101,0.2403,0.02839,10.94,0.008239,14.08,0.1047,0.06556,13.53,559.2,0.06877,91.36,32.65,605.5,0.07407,0.1379,2.652,0.01162,0.08539,0.02572,0.07191,0.006164,0.1291,87.91,12.49,0.1451,0.0134,B
0.3751,0.06673,0.5505,0.9806,0.2152,0.05839,16.15,0.0207,22.39,0.2146,0.108,18.05,1006.0,0.1684,150.1,134.8,1610.0,0.2102,0.5634,6.311,0.04658,0.3786,0.02591,0.1108,0.007054,0.1065,120.2,18.91,0.1478,0.00794,M
0.544,0.08142,1.885,0.9317,0.2906,0.06835,23.97,0.02593,23.37,0.3454,0.1604,20.18,1245.0,0.3754,170.3,116.4,1623.0,0.2508,0.6164,8.649,0.1091,0.7681,0.07895,0.09964,0.005987,0.1286,143.7,31.72,0.1639,0.01038,M
0.2779,0.05997,1.095,0.2655,0.1718,0.01661,18.0,0.008179,14.24,0.09546,0.02315,12.86,506.3,0.03889,91.88,20.35,622.1,0.07926,0.2141,1.778,0.02071,0.1731,0.01748,0.07918,0.002848,0.09934,83.19,24.82,0.1289,0.005293,B
0.2762,0.07005,2.174,0.3251,0.1842,0.01706,20.97,0.007506,13.11,0.09362,0.02233,11.45,401.5,0.04591,84.53,24.62,525.1,0.06127,0.1676,2.077,0.02586,0.1755,0.01816,0.08851,0.003976,0.1102,73.81,32.16,0.1557,0.01037,B
0.3527,0.06902,1.016,0.286,0.1942,0.03575,15.86,0.01383,15.53,0.1535,0.06987,13.34,520.0,0.1169,96.66,12.96,614.9,0.1708,0.4791,1.535,0.0398,0.4858,0.02134,0.1016,0.004603,0.1078,86.49,23.19,0.1536,0.006794,B
0.2355,0.06782,1.474,0.8973,0.1829,0.05693,24.91,0.0203,30.0,0.2665,0.1845,25.22,1878.0,0.3339,211.7,120.0,2562.0,0.2867,0.6076,7.382,0.0573,0.6476,0.01065,0.1051,0.005893,0.1063,171.5,33.62,0.1573,0.008166,M
0.2311,0.07224,2.91,0.519,0.1634,0.0605,26.29,0.01843,20.33,0.1791,0.1469,19.1,1132.0,0.1937,141.3,67.1,1298.0,0.1841,0.2817,5.801,0.02134,0.2432,0.03056,0.09203,0.01039,0.1215,129.1,32.72,0.1392,0.007545,M
0.3379,0.05968,1.255,0.2271,0.2079,0.01812,15.65,0.007027,13.67,0.07165,0.01863,12.0,443.3,0.04151,87.78,16.16,567.9,0.07632,0.2003,1.441,0.02007,0.2267,0.01972,0.07924,0.002607,0.09723,76.95,24.9,0.1377,0.005969,B
0.3695,0.06022,1.475,0.6997,0.2132,0.01649,18.52,0.0142,22.93,0.1053,0.08795,18.46,1075.0,0.1335,152.2,80.6,1603.0,0.1642,0.2089,4.782,0.02806,0.3157,0.0237,0.08579,0.003755,0.09874,121.1,27.68,0.1398,0.006471,M
0.302,0.05636,2.22,0.4204,0.2075,0.02983,21.46,0.01761,16.21,0.09947,0.04938,14.48,648.2,0.1204,108.4,38.87,808.9,0.1225,0.1976,3.301,0.05371,0.3349,0.02418,0.06846,0.003249,0.09444,94.25,29.25,0.1306,0.009369,M
0.3956,0.05629,0.6636,0.5495,0.1953,0.01842,24.59,0.012,24.56,0.1206,0.08271,19.02,1076.0,0.1468,152.9,57.65,1623.0,0.1956,0.3206,3.055,0.0371,0.5755,0.01964,0.09288,0.003337,0.09029,122.0,30.41,0.1249,0.003872,M
0.2972,0.06404,1.502,0.2978,0.193,0.02493,21.8,0.01293,13.83,0.09445,0.03745,12.36,466.1,0.06015,91.46,20.95,574.7,0.1205,0.2463,2.203,0.02703,0.2434,0.01958,0.09261,0.004463,0.08772,79.78,30.5,0.1304,0.007112,B
0.3151,0.06346,0.7372,0.5115,0.2116,0.04412,15.24,0.01623,16.34,0.1339,0.07064,14.64,651.9,0.09966,109.4,42.76,803.6,0.1397,0.3089,3.814,0.04436,0.2604,0.02427,0.08473,0.004841,0.1132,95.77,18.24,0.1277,0.005508,B
0.2522,0.05866,1.111,0.3721,0.1685,0.01818,24.02,0.008606,16.11,0.08606,0.02957,14.62,662.7,0.03102,102.9,33.76,803.7,0.06946,0.1766,2.279,0.01121,0.09189,0.02085,0.07246,0.002893,0.08974,94.57,29.11,0.1115,0.004868,B
0.2556,0.06097,0.8413,0.3129,0.1717,0.02444,22.76,0.01763,16.43,0.1036,0.07483,15.37,728.2,0.1122,107.5,29.44,830.9,0.1476,0.1997,2.075,0.04531,0.2846,0.02471,0.06828,0.002142,0.092,100.2,25.84,0.1257,0.009882,M
0.2027,0.05318,1.153,0.4057,0.1386,0.01038,14.76,0.01082,16.36,0.05055,0.02648,13.27,551.7,0.03261,104.5,36.35,830.6,0.1001,0.1238,2.701,0.01358,0.135,0.01069,0.06206,0.001435,0.07355,84.74,22.35,0.1006,0.004481,B
0.2678,0.0571,1.373,0.295,0.1638,0.01491,18.3,0.009366,15.1,0.08165,0.0278,13.45,555.1,0.03974,97.59,25.22,699.4,0.07911,0.1751,2.099,0.01872,0.1381,0.01884,0.06603,0.001817,0.1022,86.6,25.94,0.1339,0.005884,B
0.2834,0.06284,0.9644,0.4768,0.1855,0.03715,19.83,0.01851,18.23,0.1553,0.08815,15.06,705.6,0.17,123.5,47.14,1025.0,0.2115,0.4203,3.706,0.04867,0.5203,0.01498,0.08234,0.00352,0.1039,100.3,24.23,0.1551,0.00925,M
0.3689,0.05649,1.509,0.7576,0.2095,0.03482,23.03,0.01269,24.22,0.1313,0.08683,20.26,1264.0,0.1465,156.1,87.87,1750.0,0.1573,0.3539,4.554,0.04232,0.4098,0.02657,0.08368,0.004411,0.09078,132.4,31.59,0.119,0.006016,M
0.2227,0.06635,1.511,0.3661,0.19,0.01179,17.84,0.01519,12.83,0.07057,0.02941,12.18,451.1,0.0249,82.14,24.44,495.2,0.05882,0.09358,2.41,0.01131,0.0498,0.0222,0.07376,0.003408,0.1045,77.79,20.92,0.114,0.005433,B
