feature_41,feature_42,feature_77,feature_45,feature_76,feature_69,feature_73,feature_37,feature_72,feature_68,feature_58,feature_63,feature_71,feature_39,feature_33,feature_11,feature_18,feature_61,feature_25,feature_44,feature_67,feature_16,feature_22,feature_49,target
0.323535374,0.406649098,1.613548092,0.662097327,0.193054604,0.168037469,0.385423806,0.54672613,0.131254284,0.190769934,0.119716701,1.326707791,0.094356865,0.524021893,0.34684776,0.461179809,1.756132171,0.429403701,2.171903507,0.144505369,0.842472013,0.449422258,0.362659639,0.275416952,1
0.319199058,0.384766392,1.722971374,0.675065058,0.195528744,0.166311805,0.442394133,0.529053789,0.125266146,0.194819021,0.115448308,1.30305181,0.098414952,0.505300353,0.333922261,0.447192776,1.690812721,0.455050863,2.108755399,0.142299503,0.836172226,0.443855516,0.344719278,0.287319612,1
0.332426209,0.466610844,1.426933702,0.589502762,0.214088398,0.200276243,0.440331492,0.528155746,0.126933702,0.203314917,0.126657459,1.251933702,0.097651934,0.520619636,0.322378062,0.471844254,1.737701486,0.395441989,1.925685577,0.12679558,0.80980663,0.417416789,0.339543647,0.244889503,1
0.321965685,0.403728024,1.500070314,0.611165799,0.22528477,0.196034313,0.422162846,0.524041517,0.125017578,0.190127971,0.123892561,1.288707636,0.094642104,0.4956577,0.339970345,0.463249312,1.686083457,0.415412741,1.956576996,0.134298973,0.832794262,0.41897903,0.347172209,0.254957109,1
0.336414048,0.369069624,1.613896848,0.626361032,0.224212034,0.183954155,0.446561605,0.519203122,0.125787966,0.193839542,0.118481375,1.251289398,0.099140401,0.476278497,0.326966523,0.426987061,1.655781475,0.434527221,1.885192031,0.12277937,0.806160458,0.410556582,0.359416718,0.269770774,1
0.407478286,0.54659208,1.297220427,0.908532644,0.163994829,0.13852618,0.440142211,0.796702488,,0.178474467,0.13697479,1.127407886,0.138655462,0.651258649,0.387163256,1.081554541,1.711026056,0.355074337,4.112615928,0.201228184,0.67498384,0.790961284,0.386132784,0.294117647,1
0.36473029,0.482710927,1.363189369,0.893488372,0.15820598,0.132093023,0.454352159,0.66417704,,0.176079734,0.136345515,1.137009967,0.111362126,0.598340249,0.362102351,1.07593361,1.525172891,0.373621262,3.69253112,0.187840532,0.684252492,0.727524205,0.357399723,0.380730897,1
0.35452289,0.464423607,1.404481451,0.885729759,0.15854319,0.131126455,0.45450853,0.611141754,,0.174248578,0.133563499,1.14798267,0.112036285,0.582322118,0.35314396,1.065637066,1.521097628,0.388302193,3.684914506,0.183455185,0.713850528,0.742553778,0.362520684,0.400961278,1
0.4000373,0.538791496,1.170038136,0.890399602,0.195738683,0.157685293,0.458547505,0.774337934,,0.195655778,0.130658266,1.148731554,0.111507213,0.630175308,0.398358821,0.977620291,1.654792988,0.36345548,3.514546811,0.205355662,0.67924059,0.730511003,0.403767251,0.283037639,1
0.337439222,0.435008104,1.272986338,0.85944179,0.16997737,0.169139217,0.42502724,0.605024311,,0.188165284,0.14231833,1.102087,0.100578325,0.544570502,0.327066451,0.838573744,1.333063209,0.364428799,2.944894652,0.168971587,0.685692733,0.613614263,0.338897893,0.353029922,1
0.342151062,0.449356074,1.279936226,0.857766216,0.159939582,0.14349249,0.439456239,0.617298991,,0.179575396,0.131408912,1.102290845,0.110682219,0.57239819,0.36407936,0.871388792,1.403411069,0.386842326,3.127567003,0.166736595,0.702525803,0.667942917,0.378698225,0.362339515,1
0.433628319,0.55193293,1.178248401,0.804103243,0.239907346,0.167879991,0.407346128,0.828598044,,0.194352526,0.130266931,1.116589455,0.104897419,0.654867257,0.4035864,0.886353051,1.671169073,0.367196117,3.235211924,0.1732848,0.679020516,0.692594318,0.397997205,0.243437017,1
0.413800905,0.554298643,1.219966159,0.768527919,0.197067118,0.167399887,0.471517202,0.720135747,,0.192329385,0.14393683,1.062380147,0.112351946,0.616968326,0.381447964,0.850452489,1.516289593,0.349125776,3.119004525,0.159954879,0.691483362,0.654751131,0.37760181,0.323068246,1
0.349873311,0.448902027,1.246130031,0.717713401,0.183547103,0.155462185,0.444272446,0.633657095,,0.181888545,0.129478107,1.060039805,0.1036046,0.567778716,0.357896959,0.822212838,1.347339527,0.366430783,2.804265203,0.15247678,0.683989385,0.615498311,0.353885135,0.312030075,1
0.441104127,0.547144028,1.077480186,0.787100301,0.233123804,0.19363214,0.430308828,0.838480459,,0.218912271,0.099754031,1.045777535,0.10426346,0.613555616,0.399836021,0.711943154,1.393823449,0.400792566,2.594698005,0.165345723,0.677234217,0.614648811,0.375512435,0.251571468,1
0.5042681,0.596901676,1.144377729,0.746724891,0.206741266,0.222434498,0.40625,0.859943092,,0.177128821,0.133324236,1.031386463,0.097980349,0.734429339,0.447992412,0.839076826,1.531773633,0.413891921,2.87006007,0.15010917,0.657068777,0.699019918,0.426177679,0.29121179,1
0.410045177,0.478341749,1.238457207,0.740990991,0.243806306,0.179757883,0.389358108,0.672601648,,0.181869369,0.137528153,1.045326577,0.110078829,0.592612277,0.386925326,0.733988839,1.216848259,0.406109234,2.401541323,0.152730856,0.688344595,0.588094605,0.365399947,0.313907658,1
0.485312118,0.549571603,0.981414396,0.704835407,0.267758702,0.196251378,0.411245865,0.827111383,,0.225862341,0.117341314,0.945818239,0.075444952,0.621481028,0.382802938,0.685740514,1.260097919,0.372814616,2.119339045,0.156717593,0.620412663,0.551713586,0.335985312,0.170105528,1
0.455436157,0.520859671,0.994403582,0.684521906,0.217620723,0.17396866,0.40821874,0.800252845,,0.182283339,0.13559322,0.96642149,0.091461465,0.63369153,0.408343869,0.686156764,1.213021492,0.342500799,2.104930468,0.135913016,0.619923249,0.555941846,0.345448799,0.232651103,1
0.428571429,0.494930876,1.030948092,0.62682168,0.208285574,0.165875225,0.361061077,0.681105991,,0.174553791,0.128541019,1.020140822,0.09317177,0.614746544,0.361290323,0.695852535,1.125960061,0.388570493,2.044239631,0.142459473,0.640412641,0.532411674,0.349308756,0.239233666,1
0.368757041,0.527037176,1.649982724,1.223801767,,0.127400168,0.54124093,0.645043184,0.120884545,0.211461573,0.119354361,1.788785231,0.148773385,0.709350357,0.358148704,1.022812617,1.603736388,0.571351004,4.643822756,0.248877042,0.833703539,1.008636876,0.400675929,0.676686905,1
0.388340296,0.537124953,1.63898847,1.216306559,,0.134822207,0.525966476,0.678598557,0.128960372,0.222265284,0.124939444,1.763879469,0.14766011,0.776015951,0.395366502,1.053551082,1.854728447,0.569082453,4.892802886,0.248037981,0.838387753,1.04101785,0.414830991,0.637341343,1
0.405639913,0.574931623,1.564924819,1.200436235,,0.124327084,0.508214219,0.730547958,0.129153518,0.227445703,0.120614442,1.672823464,0.14316874,0.740356503,0.383853626,1.025841743,1.956427426,0.537033599,4.804017731,0.236124002,0.806385743,1.056587758,0.410921437,0.590310006,1
0.354546567,0.479133521,1.68222208,1.15195295,,0.145496388,0.561720898,0.639823767,0.127660935,0.207185323,0.122610752,1.65134565,0.140062648,0.67898666,0.342430547,0.906988129,1.661240974,0.571437704,4.039652429,0.230262737,0.844211468,0.86219557,0.405947864,0.598989964,1
0.387967847,0.500879176,1.660352255,1.149328434,,0.148314749,0.534845413,0.694297915,0.121388748,0.213443994,0.131208819,1.629054739,0.140775469,0.724441095,0.360085406,0.917357448,1.861592565,0.55993411,4.089927154,0.236061835,0.854092752,0.897261994,0.416101482,0.576849975,1
0.406218781,0.532342657,1.61081609,1.118903742,,0.136727095,0.512116218,0.767357642,0.126838796,0.222425685,0.128731002,1.54532137,0.138192028,0.71953047,0.366883117,0.917832168,1.983516484,0.54696942,4.313186813,0.227919185,0.82530672,0.933316683,0.424325674,0.529756455,1
0.357549431,0.46929299,1.727380518,1.084002189,,0.158974827,0.560105801,0.645895746,0.119937979,0.220722364,0.135625684,1.566399124,0.132068588,0.639155183,0.340023966,0.799880168,1.594967046,0.547154323,3.44877172,0.214976286,0.867201751,0.752846016,0.396494907,0.577617658,1
0.387226165,0.478093181,1.650846275,1.026522422,,0.169342174,0.506979585,0.711045973,0.120310592,0.206508463,0.145611586,1.496859187,0.133310068,0.688830608,0.350200555,0.819962974,1.849892009,0.507154074,3.623264425,0.207468156,0.848106788,0.802992903,0.414841098,0.520851509,1
0.412851156,0.523513891,1.555326991,1.070797977,,0.161052541,0.516842376,0.786745305,0.120939402,0.217879489,0.126167824,1.475357847,0.127624925,0.707900047,0.375756635,0.839670961,1.995498991,0.488128911,3.737544622,0.206994086,0.82454787,0.842309483,0.424336489,0.485214708,1
0.39306138,0.48532215,1.655576382,0.983950328,,0.172446111,0.583997188,0.694052612,0.126522962,0.223523899,0.144564199,1.499297095,0.135074977,0.676134197,0.356080823,0.787266489,1.685093404,0.546860356,3.439954251,0.202085286,0.915417057,0.759054518,0.430232558,0.551077788,1
0.407211629,0.492731735,1.681702521,0.995373583,,0.193499884,0.574485311,0.735699453,0.132431182,0.21987046,0.144922508,1.495951885,0.126185519,0.680951482,0.39116481,0.781952048,1.856333774,0.54661115,3.480460638,0.197085357,0.904811474,0.77024731,0.443458561,0.52475133,1
0.434889435,0.542997543,1.585792952,0.99030837,,0.176872247,0.532929515,0.815346815,0.121585903,0.225881057,0.137555066,1.406387665,0.129845815,0.725004725,0.3997354,0.795879796,1.997731998,0.493722467,3.433566434,0.194162996,0.86784141,0.812133812,0.443772444,0.442951542,1
0.383090246,0.434822242,1.615575808,0.934824634,,0.187793427,0.520022093,0.715360073,0.109085888,0.223418945,0.132283899,1.456365645,0.129798398,0.680264357,0.353691887,0.731084777,1.623518687,0.555233361,3.151321787,0.185584093,0.923777962,0.710118505,0.443710119,0.529549848,1
0.412948982,0.482955845,1.561913696,0.951755562,,0.171535781,0.547038328,0.773507207,0.123425355,0.220316269,0.122085232,1.394398285,0.113106406,0.705330588,0.373369938,0.760466712,1.767787692,0.508978826,3.212765957,0.182792817,0.883945323,0.741020361,0.483413407,0.482980434,1
0.436371841,0.528880866,1.530457516,0.934901961,,0.180653595,0.557124183,0.84183213,0.124575163,0.212156863,0.13254902,1.357647059,0.114379085,0.722924188,0.379738267,0.756543321,1.915388087,0.496732026,3.138086643,0.179869281,0.858431373,0.753610108,0.457355596,0.442745098,1
0.336478332,0.459791552,1.680398751,1.327948595,,,0.589959164,0.636313769,,0.219493154,0.130554888,1.926975739,0.149351429,0.699945145,0.337356007,0.832473944,1.586725178,0.606834014,4.324520022,0.247357675,0.92679558,0.864399342,0.382446517,0.534110017,1
0.344864865,0.455135135,1.720906651,1.365404116,,,0.600238592,0.662378378,,0.229048613,0.133074858,1.891738741,0.143155383,0.695783784,0.337621622,0.843351351,1.745405405,0.617834775,4.279783784,0.255174471,0.933373099,0.887351351,0.393297297,0.521085595,1
0.366602067,0.493432386,1.645763881,1.31641568,,,0.581733533,0.723621878,,0.229796528,0.127370962,1.782503736,0.140878262,0.720822567,0.351851852,0.832687339,1.940245478,0.573514197,4.314922481,0.248361881,0.895160363,0.91042205,0.3916882,0.519772388,1
0.345332775,0.467001535,1.699259836,1.193611219,,,0.591585508,0.649644203,,0.216361511,0.132606155,1.745695364,0.151928321,0.697502442,0.329426538,0.719966513,1.601646435,0.598987145,3.815403935,0.236384885,0.916244644,0.796846658,0.402120832,0.50377873,1
0.35857461,0.45935412,1.705363309,1.231489296,,,0.583748945,0.693903118,,0.228727077,0.140566255,1.718560577,0.148776184,0.699331849,0.339643653,0.729955457,1.730094655,0.587508632,3.929426503,0.229033991,0.92212077,0.820016704,0.40701559,0.498810711,1
0.370840153,0.489907256,1.68242681,1.229820713,,,0.573795295,0.73690671,,0.234359634,0.128375823,1.679173916,0.154020728,0.730496454,0.348199673,0.711811238,1.868248773,0.558438611,3.858701582,0.228912928,0.905060897,0.834833606,0.40248227,0.514411075,1
0.340414854,0.429742389,1.653051034,1.060021971,,,0.586237891,0.644362663,,0.216818136,0.140816938,1.584240487,0.103565365,0.669621947,0.319839411,0.643860823,1.485279358,0.568660741,3.269488123,0.214021772,0.875162289,0.694546671,0.398962864,0.472585639,1
0.348897312,0.457270848,1.653808878,1.008528785,,,0.559410739,0.715368711,,0.226788137,0.142760225,1.524229502,0.143438651,0.697622329,0.339593384,0.630427292,1.662129566,0.540027137,3.38800827,0.21302578,0.846191122,0.742074431,0.422294969,0.482942431,1
0.383513149,0.486176669,1.607118742,1.075528118,,,0.550400309,0.732805125,,0.237870165,0.145075721,1.507282724,0.14642616,0.722016183,0.340357384,0.630310182,1.805461902,0.523198611,3.46072151,0.210957847,0.849040224,0.771915037,0.435603506,0.507668564,1
0.372192273,0.406334232,1.739865311,0.826752938,,,0.50033012,0.624663073,,0.248646507,0.122936749,1.434174039,0.122540605,0.680143756,0.347484277,0.619721473,1.335804133,0.564769576,2.919811321,0.194770897,0.987587482,0.676774483,0.437556155,0.548395616,1
0.352387357,0.425689307,1.718461944,0.843824072,,,0.51132473,0.642681013,,0.262048986,0.138530419,1.445088228,0.128127469,0.639991033,0.343196593,0.599193006,1.355973997,0.553858309,2.955615333,0.19291546,0.961285225,0.674288276,0.418516028,0.549644456,1
0.354519463,0.447107983,1.690157637,0.880646443,,,0.531196185,0.651638443,,0.260564313,0.133925023,1.408133528,0.126506822,0.64899934,0.337585221,0.585880801,1.342643501,0.543780633,2.937101386,0.191151146,0.956285601,0.680888498,0.421376732,0.546165055,1
0.323759791,0.404699739,1.73015873,0.826388889,,,0.56167328,0.631070496,,0.260582011,0.135582011,1.667989418,0.131944444,0.660052219,0.352480418,0.551174935,1.25770235,0.638558201,2.707571802,0.185350529,1.002645503,0.628720627,0.425326371,0.527116402,1
0.353874636,0.417878868,1.633585331,0.825961074,,,0.549461155,0.650092568,,0.255589513,0.134309152,1.588064983,0.131253016,0.675218196,0.340650622,0.617297011,1.343824385,0.637767412,2.783655118,0.183850732,0.944506997,0.617297011,0.466543243,0.529676693,1
0.349674055,0.398696219,1.613042782,0.821182503,,,0.521871495,0.658670143,,0.24515302,0.131869893,1.597019708,0.129626662,0.650586701,0.349413299,0.583833116,1.342633638,0.60390963,2.796870926,0.190674571,0.922768787,0.646153846,0.450847458,0.509053036,1
0.277514231,0.381404175,1.817861857,1.282226133,,,0.505059393,0.566413662,0.127804663,0.239624578,0.127364716,2.06855844,0.138143423,0.530360531,0.293643264,0.643145161,1.171963947,0.719167033,3.389231499,0.223273207,0.845871829,0.904055977,0.331593928,0.45035929,1
0.297091499,0.403570091,1.769404892,1.27192406,,,0.497626871,0.601797528,0.130996714,0.232931727,0.127126689,2.050894487,0.136911281,0.575333916,0.31456747,0.674447635,1.253401573,0.697042716,3.553488953,0.217597663,0.865498357,0.94669829,0.352015978,0.444249726,1
0.305129165,0.412829153,1.723144672,1.231374531,,,0.493719319,0.628728316,0.122870344,0.238160554,0.123881028,1.978559053,0.134709789,0.588294022,0.319231249,0.663297142,1.302758018,0.68697661,3.616622988,0.218307826,0.85034652,0.985648321,0.360539124,0.435677159,1
0.311363996,0.402718508,1.682969895,1.113975457,,,0.491745387,0.599652284,0.132691798,0.227421206,0.124216474,1.871810718,0.137724022,0.577366841,0.314683104,0.607554923,1.17053896,0.664606692,3.181444602,0.196433301,0.824490156,0.851272325,0.381223329,0.413701775,1
0.317809943,0.406230334,1.753591759,1.113038764,,,0.497063341,0.609502832,0.14095961,0.238547032,0.13174302,1.89446101,0.142314991,0.576935179,0.313876652,0.597388295,1.189112649,0.72097226,3.142857143,0.202674618,0.860666847,0.846601636,0.369572058,0.410228608,1
0.330052389,0.41689157,1.72409726,1.167392488,,,0.488568318,0.64534053,0.127290873,0.240518962,0.134549084,1.89602613,0.139539104,0.600412764,0.322590887,0.588347357,1.287505953,0.664217021,3.308937927,0.201415351,0.856741063,0.885061121,0.370852516,0.407729995,1
0.323802011,0.403667916,1.626290753,0.954751131,,,0.479521986,0.626700848,0.132730015,0.228564799,0.122055923,1.730363151,0.133658197,0.588641294,0.318674818,0.545848945,1.078682706,0.637428936,2.68329718,0.186680589,0.797540318,0.761782686,0.38315914,0.370808679,1
0.325303564,0.408343126,1.61497516,0.985923823,,,0.496806246,0.637289463,0.142772652,0.23456352,0.125621008,1.751715164,0.139105749,0.569917744,0.318448884,0.511946729,1.093811203,0.661580317,2.676654916,0.186184055,0.829548143,0.774383079,0.406580494,0.381476224,1
0.330246914,0.408564815,1.586359293,1.031772575,,,0.507166746,0.644675926,0.13079312,0.242355471,0.126851409,1.750477783,0.139154324,0.57349537,0.323302469,0.509259259,1.156828704,0.659818442,2.718364198,0.181199236,0.839225991,0.78125,0.372878086,0.372551362,1
0.359747546,0.471014493,1.538291402,0.87572574,,,0.494885264,0.66058906,0.143350843,0.227398396,0.132844899,1.614735969,0.140586121,0.587657784,0.316503039,0.528517999,1.033426835,0.623030135,2.422627396,0.162427426,0.801769422,0.697054698,0.381954184,0.340060824,1
0.339921857,0.407032866,1.577964912,0.903578947,,,0.459087719,0.654792002,0.14877193,0.246315789,0.135719298,1.635508772,0.14077193,0.58837049,0.323833601,0.503332567,1.012640772,0.63522807,2.413468168,0.174596491,0.831719298,0.704895426,0.377384509,0.341052632,1
0.375964461,0.428805237,1.547757181,0.945804443,,,0.476015282,0.671498714,0.148577897,0.241686713,0.130465544,1.643837555,0.142210273,0.601356091,0.32592939,0.498714052,1.097030629,0.636620914,2.539396773,0.166407245,0.827649639,0.729717091,0.386953472,0.346257252,1
0.38550885,0.458517699,1.392008639,0.841432685,,,0.506839453,0.715707965,0.157487401,0.244780418,0.12562995,1.46850252,0.14524838,0.614214602,0.340431416,0.52295354,1.049778761,0.602051836,2.246957965,0.144168467,0.786897048,0.708794248,0.397123894,0.302915767,1
0.391561181,0.47116737,1.379272727,0.813090909,,,0.483090909,0.729676512,0.168545455,0.251272727,0.136181818,1.497818182,0.136363636,0.655696203,0.361181435,0.517018284,1.080168776,0.650181818,2.308860759,0.154181818,0.808545455,0.720956399,0.443600563,0.330545455,1
0.379911455,0.456834532,1.374519495,0.859051803,,,0.518945634,0.721084671,0.164195497,0.258282995,0.155775215,1.501372872,0.139117701,0.646651909,0.355838406,0.492529054,1.10486995,0.638843126,2.288046486,0.151748124,0.807065715,0.727725512,0.41615938,0.300750503,1
0.321959755,0.427296588,1.627181412,1.061181006,0.14351664,0.139052354,0.486911526,0.534033246,0.129362825,0.239752435,0.128145292,1.687550731,0.132000812,0.618022747,0.340857393,0.969466317,2.231671041,0.527242289,3.366491689,0.242086039,0.987773945,1.099300087,0.343219598,0.54104099,1
0.296051502,0.42583691,1.562096053,1.063985284,0.145719399,0.133787412,0.46783335,0.533218884,0.143084419,0.249030526,0.134582878,1.662871632,0.139007656,0.603175966,0.337682403,0.991845494,2.330987124,0.519787213,3.431158798,0.242119916,0.981654569,1.078712446,0.344806867,0.539226409,1
0.29967541,0.445214492,1.571868376,1.059452912,0.142878773,0.14232361,0.462501262,0.564698658,0.147673362,0.247955991,0.12955486,1.716362168,0.134803674,0.640231599,0.342398456,0.989999123,1.952539696,0.506308671,3.434248618,0.241041688,0.994145554,1.094043337,0.352048425,0.561875442,1
0.286714076,0.399932272,1.646607633,0.969007234,0.141681217,0.133636817,0.479109504,0.52297099,0.121289598,0.233225243,0.119356448,1.586368172,0.11898229,0.585054747,0.312111977,0.819166949,2.297211875,0.526502869,2.814990405,0.208717885,0.970067348,0.924822215,0.337509877,0.466762285,1
0.290318945,0.405837935,1.607631121,0.972905792,0.146408153,0.13335819,0.438354462,0.542206694,0.14261745,0.244469302,0.128635347,1.619189659,0.128635347,0.587399977,0.309478192,0.815056914,2.477854164,0.542567736,2.891017694,0.212714392,0.980797912,0.938465006,0.338667869,0.491797166,1
0.288799822,0.400356268,1.506520119,0.985221063,0.142138599,0.135866865,0.461313959,0.535292808,0.133817685,0.247516145,0.125062096,1.674242424,0.12791853,0.601425072,0.304720552,0.836450679,2.374415498,0.55377546,2.79492318,0.212369598,1.002483855,0.925851703,0.326987308,0.483420268,1
0.284347232,0.386056049,1.54136263,0.794703616,0.150856768,0.14987292,0.443059769,0.510731374,0.116340084,0.223661556,0.115766172,1.474050996,0.113798475,0.572932331,0.296924129,0.719480519,1.906220096,0.52668689,2.475324675,0.178158564,0.932442404,0.819548872,0.30936432,0.393785357,1
0.302029136,0.375,1.485702513,0.807086939,0.17000412,0.144128554,0.412937783,0.521201873,0.136959209,0.235929131,0.124927895,1.55434693,0.125587145,0.552419355,0.287200832,0.685744017,2.098985432,0.534569427,2.380723205,0.188215904,0.948825711,0.779656608,0.288241415,0.409064689,1
0.293691275,0.38966443,1.509004104,0.844375576,0.156126979,0.147834827,0.441829299,0.532885906,0.130161655,0.241645029,0.124884831,1.603484379,0.125052349,0.563892617,0.298120805,0.690604027,2.094228188,0.539241142,2.408993289,0.19365106,0.98215931,0.827651007,0.326577181,0.418376748,1
0.304510058,0.387086308,1.397438567,0.735422741,0.165660142,0.144002499,0.37151187,0.488481506,0.121095377,0.228342357,0.10849646,1.382548938,0.111411912,0.549156392,0.261680727,0.602693056,1.74578196,0.529154519,1.881083712,0.168887963,0.895980841,0.647306944,0.297534069,0.359329446,1
0.312317192,0.39519012,1.388229167,0.712916667,0.174166667,0.161145833,0.356979167,0.504874878,0.135520833,0.24125,0.121979167,1.4028125,0.125,0.544848879,0.269418265,0.617322067,1.75040624,0.529583333,1.928826779,0.172708333,0.921458333,0.647546311,0.291680208,0.374270833,1
0.322094926,0.399509002,1.405726919,0.777029161,0.173702495,0.167912412,0.371618065,0.50589198,0.143067691,0.243078219,0.128434572,1.444467839,0.131592799,0.528641571,0.271522095,0.579214403,1.717675941,0.540372671,1.912602291,0.170544268,0.937467102,0.659574468,0.304091653,0.365617433,1
0.293005287,0.411142741,0.820333253,0.344119778,0.101787008,0.107099734,0.273363922,0.368849126,0.092972712,0.162641874,0.08971263,0.853175561,0.067254286,0.524603497,0.267385116,0.545140301,1.641724278,0.352934074,1.687474583,0.153103115,0.577396764,0.592313949,0.278161854,0.226273847,1
0.331140351,0.41407496,0.788461538,0.359249646,0.115148655,0.109367626,0.260146295,0.519936204,0.142402076,0.176852289,0.103704578,0.897475224,0.076805097,0.576953748,0.27053429,0.513755981,1.489433812,0.370339783,1.635366826,0.148065125,0.60512034,0.586523126,0.264752791,0.244690892,1
0.341409692,0.419703644,0.790975289,0.471171064,0.112689507,0.114599499,0.277665035,0.504405286,0.149337472,0.183717321,0.118180733,0.971588874,0.084397756,0.573888666,0.260913096,0.492591109,1.727673208,0.374955235,1.571886264,0.149576221,0.640921571,0.5969163,0.255106127,0.264653217,1
0.27303331,0.381909993,1.633226837,1.057311379,0.152813959,0.131481937,0.479429835,0.516477675,0.107643156,0.222904891,0.109953305,1.657213074,0.114622757,0.537119064,0.312189936,0.616672573,1.998405386,0.522339641,3.193745571,0.220938806,0.873433276,0.714121191,0.342044649,0.620987958,1
0.275849602,0.387292119,1.582556173,1.076781831,0.152452283,0.13351051,0.445759845,0.54428778,0.113505678,0.240541194,0.112780865,1.592703552,0.11988403,0.556399132,0.322758496,0.642353579,2.157357195,0.498332931,3.25840564,0.217492148,0.903116695,0.737075199,0.340925524,0.602609326,1
0.273086953,0.393130114,1.567437992,1.134680299,0.15371068,0.133310503,0.44444988,0.53133711,0.11452473,0.232278264,0.11339954,1.601829656,0.118829803,0.542487186,0.317687258,0.630608758,2.214818811,0.523995891,3.264904235,0.215791791,0.906707108,0.724934808,0.350508048,0.623012573,1
0.256565657,0.347811448,1.606365055,0.930795632,0.149079563,0.136224649,0.458096724,0.485521886,0.106833073,0.230390016,0.106583463,1.514134165,0.104087363,0.51627385,0.280583614,0.455555556,2.071156004,0.539095164,2.592929293,0.189204368,0.872199688,0.620538721,0.300224467,0.578658346,1
0.254582485,0.343177189,1.396849625,0.970633128,0.147383845,0.13505098,0.412845717,0.497171306,0.113254777,0.225044264,0.108553636,1.536723854,0.109347335,0.525684544,0.293957909,0.439239647,2.138719167,0.52103303,2.610997963,0.18743513,0.893277978,0.623783661,0.304933243,0.574760364,1
0.251444759,0.348215297,1.593467212,0.995723317,0.151171439,0.139147143,0.435539854,0.508895184,0.114664683,0.222387505,0.110449981,1.539729763,0.111131771,0.511614731,0.292351275,0.460963173,2.145155807,0.519152101,2.599773371,0.188050081,0.907710425,0.622096317,0.303116147,0.586959217,1
0.246296296,0.327065527,1.593664236,0.846937975,0.15643378,0.145534384,0.396690975,0.478632479,0.104759664,0.224104132,0.102407277,1.448913981,0.091821532,0.495868946,0.264814815,0.367094017,1.776068376,0.519015134,2.123789174,0.168195719,0.856033874,0.513390313,0.281623932,0.526307535,1
