feature_10,feature_30,feature_7,feature_26,feature_28,feature_25,feature_5,feature_15,feature_4,feature_8,feature_27,feature_16,feature_21,feature_9,feature_22,feature_12,feature_2,feature_24,target
0.05629,0.09288,0.1468,0.3206,0.1956,0.1249,0.09029,0.003872,1076.0,0.08271,0.5755,0.01842,24.56,0.1953,30.41,0.6636,24.59,1623.0,1
0.06404,0.09261,0.06015,0.2463,0.1205,0.1304,0.08772,0.007112,466.1,0.03745,0.2434,0.02493,13.83,0.193,30.5,1.502,21.8,574.7,0
0.06346,0.08473,0.09966,0.3089,0.1397,0.1277,0.1132,0.005508,651.9,0.07064,0.2604,0.04412,16.34,0.2116,18.24,0.7372,15.24,803.6,0
0.05866,0.07246,0.03102,0.1766,0.06946,0.1115,0.08974,0.004868,662.7,0.02957,0.09189,0.01818,16.11,0.1685,29.11,1.111,24.02,803.7,0
0.06097,0.06828,0.1122,0.1997,0.1476,0.1257,0.092,0.009882,728.2,0.07483,0.2846,0.02444,16.43,0.1717,25.84,0.8413,22.76,830.9,1
0.05318,0.06206,0.03261,0.1238,0.1001,0.1006,0.07355,0.004481,551.7,0.02648,0.135,0.01038,16.36,0.1386,22.35,1.153,14.76,830.6,0
0.0571,0.06603,0.03974,0.1751,0.07911,0.1339,0.1022,0.005884,555.1,0.0278,0.1381,0.01491,15.1,0.1638,25.94,1.373,18.3,699.4,0
0.06284,0.08234,0.17,0.4203,0.2115,0.1551,0.1039,0.00925,705.6,0.08815,0.5203,0.03715,18.23,0.1855,24.23,0.9644,19.83,1025.0,1
0.05649,0.08368,0.1465,0.3539,0.1573,0.119,0.09078,0.006016,1264.0,0.08683,0.4098,0.03482,24.22,0.2095,31.59,1.509,23.03,1750.0,1
0.06635,0.07376,0.0249,0.09358,0.05882,0.114,0.1045,0.005433,451.1,0.02941,0.0498,0.01179,12.83,0.19,20.92,1.511,17.84,495.2,0
0.0689,0.08988,0.006829,0.09473,0.02381,0.1316,0.1024,0.01113,294.5,0.007937,0.02049,0.01463,10.92,0.135,26.29,2.043,19.94,366.1,0
0.06582,0.08756,0.04196,0.1851,0.08449,0.1431,0.08983,0.006153,412.6,0.0335,0.1922,0.0133,13.06,0.162,17.16,0.5391,12.84,512.5,0
0.0639,0.09353,0.09388,0.3026,0.1565,0.1431,0.09752,0.008005,642.5,0.05839,0.3194,0.02895,16.33,0.1879,30.86,1.851,19.77,826.4,1
0.05871,0.07397,0.08625,0.1943,0.1184,0.1265,0.09488,0.005872,582.7,0.04489,0.3169,0.01488,16.99,0.1609,35.27,1.29,24.98,906.5,1
0.07818,0.09382,0.0,0.1202,0.0,0.1584,0.117,0.01019,143.5,0.0,0.0,0.01084,7.93,0.193,19.54,1.508,13.43,185.2,0
0.05677,0.06878,0.02383,0.08862,0.07431,0.1123,0.08013,0.00508,458.7,0.0177,0.1145,0.006098,13.34,0.1739,32.84,1.571,20.52,547.8,0
0.06322,0.0849,0.06154,0.2302,0.09749,0.1559,0.1005,0.009058,298.3,0.03029,0.2644,0.02196,10.76,0.1945,26.83,1.222,19.4,361.2,0
0.06481,0.07552,0.02995,0.1486,0.03203,0.1219,0.09989,0.007595,336.1,0.01201,0.07987,0.02219,11.54,0.2217,23.31,1.534,19.29,402.8,0
0.07692,0.1405,0.2071,0.4099,0.1986,0.1862,0.1398,0.007162,530.2,0.09601,0.6376,0.02912,16.31,0.1925,22.4,0.9238,15.56,827.2,1
0.0652,0.09097,0.0707,0.266,0.1218,0.1688,0.1142,0.00854,412.5,0.03485,0.2873,0.0231,13.14,0.1801,29.26,1.657,18.33,521.7,0
0.06066,0.07185,0.02643,0.1963,0.08442,0.1184,0.08477,0.003457,466.7,0.01921,0.1937,0.01047,13.29,0.1602,27.49,0.8944,18.54,544.1,0
0.07039,0.09789,0.4264,0.6997,0.291,0.1701,0.1326,0.006515,1509.0,0.1823,0.9608,0.08668,28.4,0.2556,28.01,1.545,19.67,2360.0,1
0.06529,0.08832,0.05133,0.2196,0.08278,0.1699,0.08759,0.009113,396.5,0.01899,0.312,0.01557,13.01,0.1487,29.15,0.9861,21.26,518.1,0
0.07065,0.08468,0.04334,0.1765,0.05334,0.1467,0.1037,0.01385,290.2,0.01778,0.13,0.02932,11.05,0.1584,21.47,1.424,16.99,367.0,0
0.0707,0.08486,0.1065,0.225,0.1105,0.1287,0.09933,0.01291,480.4,0.06021,0.2216,0.04042,13.33,0.1735,25.47,1.803,20.76,527.4,0
0.07769,0.1082,0.3003,0.4193,0.1505,0.08949,0.07837,0.005298,629.9,0.07798,0.6783,0.07446,15.3,0.1704,23.73,1.49,19.65,709.0,0
0.07782,0.09026,0.06476,0.2049,0.06136,0.13,0.1122,0.01188,334.2,0.03068,0.1295,0.03747,11.16,0.1922,22.75,1.86,20.19,374.4,0
0.07633,0.1017,0.04132,0.2364,0.105,0.1724,0.115,0.008261,230.9,0.01924,0.2456,0.02213,9.628,0.1649,19.62,0.5864,15.83,284.4,0
0.06194,0.08541,0.03328,0.2399,0.07247,0.15,0.09768,0.007803,438.6,0.02008,0.1503,0.02507,13.67,0.1688,26.15,0.9227,21.53,583.0,0
0.07163,0.07722,0.09263,0.1879,0.03846,0.1179,0.09462,0.01835,245.2,0.02308,0.1544,0.0676,9.414,0.1305,17.07,0.9789,15.76,270.0,0
0.06768,0.1065,0.169,0.448,0.2027,0.1878,0.1162,0.006985,682.5,0.08923,0.4704,0.02563,18.81,0.2157,27.37,0.9489,16.67,1095.0,1
0.07331,0.1252,0.2133,0.4925,0.2034,0.1855,0.1155,0.008699,782.6,0.09479,0.7356,0.03976,20.19,0.2096,30.5,1.072,22.91,1272.0,1
0.05025,0.06111,0.07293,0.1202,0.1185,0.1072,0.08402,0.004024,982.0,0.05596,0.2249,0.008422,20.58,0.2129,27.83,1.214,20.01,1261.0,1
0.06113,0.08523,0.03512,0.239,0.08958,0.1548,0.09373,0.00604,403.3,0.02623,0.2102,0.01529,12.82,0.1667,15.97,0.4607,10.82,510.5,0
0.06213,0.08456,0.1457,0.2291,0.1674,0.1503,0.1054,0.008102,1077.0,0.08665,0.3272,0.02101,22.25,0.1966,24.9,1.581,17.12,1549.0,1
0.06877,0.08009,0.4268,0.4244,0.2248,0.1696,0.1447,0.02333,1761.0,0.2012,0.5803,0.09806,26.02,0.2655,23.99,3.12,20.2,2073.0,1
0.06402,0.08006,0.08842,0.1788,0.1221,0.1313,0.1101,0.003818,640.7,0.05778,0.256,0.01276,15.7,0.1856,15.98,0.857,10.89,745.5,0
0.05823,0.07628,0.08092,0.2531,0.08978,0.1025,0.07115,0.005919,553.5,0.028,0.3308,0.0327,14.26,0.1422,22.75,1.14,16.39,632.1,0
0.0589,0.07182,0.0142,0.135,0.05104,0.1157,0.08785,0.004599,588.7,0.01141,0.08115,0.009169,15.49,0.1614,23.58,0.8561,17.21,725.9,0
0.0613,0.079,0.05285,0.2884,0.1329,0.1471,0.09258,0.004088,572.6,0.03085,0.3796,0.01174,16.89,0.1761,35.64,1.005,24.69,848.7,1
0.05044,0.06541,0.09271,0.2264,0.1218,0.1021,0.08217,0.004428,1138.0,0.05627,0.3207,0.02731,22.32,0.1946,25.73,1.342,18.91,1538.0,1
0.06467,0.07779,0.1138,0.2883,0.1423,0.1386,0.115,0.009006,674.5,0.08534,0.196,0.04185,16.11,0.2001,18.33,1.068,16.39,762.6,0
0.06113,0.08465,0.2545,0.3861,0.1732,0.1275,0.1015,0.005033,1192.0,0.1149,0.5673,0.03179,22.63,0.2202,33.58,1.199,25.12,1589.0,1
0.06471,0.09241,0.02855,0.2585,0.08187,0.1427,0.1066,0.006773,455.8,0.02882,0.09915,0.02456,13.34,0.188,17.81,0.8163,13.29,545.2,0
0.05796,0.08019,0.1466,0.2394,0.1514,0.1546,0.1092,0.00624,748.9,0.08087,0.3791,0.01484,19.26,0.1931,26.0,0.7859,19.48,1156.0,1
0.05891,0.07619,0.1043,0.3055,0.1312,0.1395,0.1008,0.004877,809.8,0.05613,0.2992,0.01952,19.47,0.216,31.68,1.265,21.54,1175.0,1
0.05723,0.07071,0.07135,0.1949,0.1374,0.1223,0.09462,0.005217,761.7,0.05933,0.1709,0.01515,17.5,0.1816,19.25,0.8155,13.93,922.8,0
0.05727,0.0761,0.1153,0.2275,0.1379,0.1465,0.0943,0.006001,1075.0,0.06847,0.3965,0.01422,22.52,0.1692,31.39,1.202,21.91,1590.0,1
0.06065,0.08067,0.04711,0.1523,0.09331,0.1419,0.09055,0.007499,506.3,0.02704,0.2177,0.01202,14.49,0.1585,33.37,1.38,22.47,653.6,1
0.05945,0.07343,0.03592,0.1028,0.06968,0.1271,0.1051,0.006578,423.6,0.026,0.1046,0.0138,13.33,0.1339,25.48,2.508,16.67,546.7,0
0.05865,0.06765,0.03503,0.1648,0.08476,0.119,0.09639,0.005133,399.8,0.02875,0.1399,0.01521,12.32,0.1734,22.02,0.9938,15.39,462.0,0
0.06216,0.07147,0.1539,0.2164,0.1667,0.1411,0.1167,0.01,678.1,0.08624,0.3355,0.0348,18.55,0.1957,21.43,1.452,17.57,971.4,1
0.06072,0.06784,0.04635,0.1822,0.08611,0.1367,0.1164,0.01127,384.8,0.04796,0.08669,0.03498,11.92,0.1771,15.77,1.343,13.39,434.0,0
0.06422,0.08151,0.0,0.07204,0.0,0.1234,0.0925,0.00604,288.5,0.0,0.0,0.005656,10.62,0.1903,14.1,0.496,11.97,342.9,0
0.06248,0.08158,0.09447,0.2236,0.1216,0.1314,0.09721,0.00677,813.0,0.05943,0.2802,0.01938,19.92,0.1861,25.27,1.332,18.05,1233.0,1
0.06562,0.08096,0.02031,0.1792,0.06402,0.1413,0.1092,0.006664,398.0,0.01861,0.07708,0.01735,12.78,0.1645,26.76,1.908,17.31,503.0,0
0.06235,0.08118,0.04894,0.2548,0.1012,0.1312,0.08677,0.005324,512.2,0.03088,0.209,0.01563,14.48,0.1778,21.82,0.7712,15.92,643.8,0
0.05688,0.06769,0.02251,0.1223,0.03413,0.1076,0.07793,0.006547,355.3,0.007875,0.09755,0.01781,11.95,0.1399,20.72,1.239,14.97,441.2,0
0.07839,0.1036,0.0371,0.2517,0.06042,0.1424,0.1152,0.01017,432.8,0.03003,0.0942,0.04741,13.15,0.1995,16.51,0.6538,14.65,509.6,0
0.07371,0.103,0.1659,0.4092,0.1865,0.1385,0.1091,0.005427,432.0,0.07415,0.4504,0.03633,13.74,0.2678,26.38,1.426,16.58,591.7,1
0.06493,0.09218,0.0905,0.2521,0.08405,0.0997,0.08138,0.00579,689.5,0.03562,0.25,0.04877,16.25,0.1744,25.47,1.909,18.77,809.7,0
0.06081,0.07683,0.08487,0.2735,0.1599,0.1316,0.0997,0.005706,640.1,0.05532,0.3103,0.02297,15.85,0.1724,19.85,0.7394,15.18,766.9,0
0.0558,0.07014,0.02881,0.1824,0.06019,0.09711,0.07944,0.002838,585.0,0.01329,0.1564,0.01592,15.34,0.1473,22.46,0.7574,17.91,725.9,0
0.06087,0.06435,0.03136,0.1105,0.06296,0.1297,0.1135,0.007017,519.4,0.02645,0.08112,0.01142,14.16,0.254,24.11,1.322,20.78,616.7,0
0.08261,0.1486,0.1321,0.431,0.07879,0.163,0.09405,0.01243,203.9,0.02168,0.5381,0.05416,9.092,0.2222,29.72,1.962,20.7,249.8,0
0.09296,0.1259,0.4108,0.2772,0.1571,0.1292,0.1072,0.01097,300.2,0.07857,0.8216,0.09586,11.02,0.2548,19.49,2.664,15.34,380.5,0
0.06105,0.06772,0.01982,0.08971,0.05506,0.1341,0.09754,0.009019,381.9,0.01786,0.07116,0.008985,11.99,0.183,16.3,0.7815,13.08,440.8,0
0.06207,0.08633,0.09293,0.2256,0.09722,0.1478,0.09384,0.008584,538.9,0.03483,0.3009,0.02017,14.77,0.1822,20.5,0.7927,15.34,677.3,0
0.06228,0.08132,0.03885,0.1788,0.08211,0.1217,0.08654,0.005518,460.3,0.02331,0.1943,0.01562,13.59,0.197,25.22,0.9823,17.94,564.2,0
0.06166,0.07738,0.1855,0.3498,0.1515,0.1418,0.1115,0.009037,963.7,0.1054,0.3583,0.04954,20.47,0.1971,25.11,1.4,20.74,1302.0,1
0.05268,0.05972,0.0515,0.171,0.08436,0.08774,0.07445,0.003443,880.2,0.02771,0.1882,0.02661,18.22,0.1844,28.07,2.06,19.46,1032.0,0
0.05907,0.07898,0.01972,0.1232,0.07025,0.1275,0.09311,0.005528,448.6,0.01963,0.08636,0.009789,13.14,0.159,18.41,0.7285,12.74,532.8,0
0.05743,0.07685,0.00309,0.08294,0.03953,0.1171,0.07515,0.006142,366.8,0.006588,0.01854,0.006134,12.36,0.1442,18.2,0.7614,12.96,470.0,0
