feature_10,feature_30,feature_25,feature_26,feature_21,feature_6,feature_29,feature_20,feature_3,feature_4,feature_9,feature_5,feature_24,feature_1,feature_28,feature_23,feature_2,feature_14,feature_16,feature_11,feature_19,target
0.05656,0.08633,0.1563,0.3835,20.01,0.1336,0.4863,0.002665,110.1,869.5,0.1896,0.0961,1229.0,16.74,0.1813,133.5,21.59,45.19,0.02499,0.4615,0.02789,1
0.06125,0.1014,0.1446,0.4238,15.89,0.1098,0.3591,0.004022,93.63,633.0,0.1885,0.09823,799.6,14.25,0.1447,116.2,21.72,24.91,0.02995,0.286,0.02028,1
0.05863,0.06169,0.09701,0.04619,13.3,0.03766,0.1987,0.001777,82.61,523.8,0.1467,0.08983,545.9,13.03,0.05013,84.46,18.42,14.16,0.004899,0.1839,0.02671,0
0.05504,0.05504,0.09387,0.05131,14.99,0.05131,0.1565,0.001754,95.54,698.8,0.1565,0.09387,698.8,14.99,0.02899,95.54,25.2,106.0,0.01094,1.214,0.007882,1
0.06419,0.1071,0.161,0.4225,15.53,0.1255,0.2807,0.003187,88.4,559.2,0.172,0.1016,740.4,13.48,0.2258,107.3,20.82,18.52,0.02239,0.213,0.01377,1
0.05587,0.07146,0.1094,0.2043,15.93,0.06031,0.2994,0.001286,86.18,563.0,0.1784,0.08162,787.9,13.44,0.1112,102.5,21.58,20.53,0.01102,0.2385,0.0138,1
0.0687,0.09606,0.1909,0.2698,12.84,0.1218,0.2964,0.00304,71.9,371.1,0.1895,0.1227,514.0,10.95,0.1424,87.22,21.35,16.97,0.01764,0.2366,0.01357,1
0.06343,0.1038,0.1247,0.7444,24.09,0.219,0.467,0.007646,128.3,1104.0,0.231,0.09081,1651.0,19.07,0.2493,177.4,24.81,104.9,0.1006,0.9811,0.05333,1
0.06782,0.1027,0.153,0.3724,17.38,0.1436,0.3739,0.003317,87.32,545.2,0.1974,0.1041,907.2,13.28,0.1492,113.1,20.28,31.33,0.02147,0.3704,0.01719,1
0.06177,0.09618,0.1503,0.3904,16.23,0.1047,0.3693,0.00172,85.42,531.5,0.1746,0.09714,740.7,13.17,0.1607,105.5,21.81,14.49,0.01384,0.1938,0.01113,1
0.06049,0.09185,0.1679,0.509,22.82,0.1686,0.3799,0.003535,123.7,1076.0,0.1907,0.1099,1567.0,18.65,0.2378,150.6,17.6,71.56,0.03994,0.6289,0.02428,1
0.06503,0.07409,0.1297,0.1357,8.964,0.05943,0.3105,0.002582,51.71,201.9,0.1769,0.086,242.2,8.196,0.02564,57.26,16.84,8.205,0.01646,0.1563,0.02574,0
0.06777,0.1179,0.1786,0.4166,15.67,0.1231,0.39,0.003643,85.98,534.6,0.2128,0.1158,759.4,13.17,0.2088,102.8,18.66,24.25,0.02336,0.2871,0.01743,1
0.06043,0.08301,0.1494,0.2156,13.76,0.09092,0.2747,0.002422,78.04,449.3,0.1675,0.1031,582.6,12.05,0.06548,89.88,14.63,19.87,0.01427,0.2636,0.01428,0
0.05718,0.06917,0.1162,0.1711,15.15,0.07698,0.2871,0.001956,86.91,561.0,0.1809,0.08752,698.8,13.49,0.1282,99.0,22.3,20.2,0.01382,0.2338,0.01641,0
0.05888,0.06563,0.1085,0.08615,12.98,0.04966,0.2433,0.001769,74.72,427.9,0.1495,0.08637,516.5,11.76,0.03715,82.98,21.6,28.47,0.009758,0.4062,0.02406,0
0.05953,0.08025,0.1089,0.1582,14.67,0.06059,0.2346,0.002551,87.21,571.8,0.1353,0.07685,656.7,13.64,0.08586,96.08,16.34,14.55,0.01177,0.1872,0.01325,0
0.0611,0.07408,0.1144,0.08906,13.1,0.04751,0.2785,0.002635,75.71,437.6,0.1868,0.08261,527.2,11.94,0.06296,83.67,18.24,17.47,0.00838,0.2273,0.01996,0
0.0631,0.07987,0.128,0.2297,20.6,0.1485,0.3021,0.005126,120.3,1033.0,0.2092,0.1148,1321.0,18.22,0.1325,135.1,18.7,98.81,0.02961,0.8337,0.02674,1
0.05684,0.07873,0.1389,0.2057,18.1,0.07081,0.2675,0.001629,97.26,712.8,0.1616,0.09056,1030.0,15.1,0.153,117.7,22.02,29.91,0.0103,0.3105,0.01095,1
0.05907,0.07036,0.1249,0.0872,12.84,0.05473,0.3306,0.002386,73.34,409.0,0.192,0.09524,506.2,11.52,0.06316,81.81,18.75,23.47,0.008722,0.3249,0.03218,0
0.05961,0.08294,0.1624,0.3511,26.14,0.1267,0.3537,0.002608,125.5,1152.0,0.1917,0.1053,2145.0,19.21,0.2091,170.1,18.57,102.5,0.02306,0.7275,0.01852,1
0.06758,0.1094,0.1368,0.429,17.87,0.1365,0.3698,0.004108,95.55,656.9,0.2027,0.1137,985.5,14.71,0.1834,115.7,21.59,40.09,0.02855,0.4226,0.01817,1
0.05501,0.06289,0.1021,0.06191,14.23,0.03789,0.2439,0.00299,82.61,527.2,0.1819,0.0806,624.1,13.05,0.01111,90.24,19.31,32.96,0.008593,0.404,0.0219,0
0.07187,0.09026,0.1733,0.1239,9.507,0.05272,0.322,0.002788,54.34,224.5,0.1683,0.09752,274.9,8.618,0.04419,59.9,11.79,8.322,0.01055,0.1559,0.0209,0
0.0696,0.0802,0.1275,0.09866,11.02,0.08061,0.3557,0.005953,64.55,311.9,0.2743,0.1134,368.6,10.17,0.02579,69.86,14.88,34.62,0.01099,0.5158,0.04183,0
0.06757,0.07712,0.1639,0.1698,9.565,0.08963,0.2972,0.003048,54.66,221.8,0.1828,0.1243,273.9,8.598,0.02778,62.06,20.98,18.39,0.03162,0.3582,0.03357,0
0.07292,0.1132,0.164,0.6247,17.67,0.2008,0.2844,0.006113,96.42,645.7,0.1949,0.1049,959.5,14.25,0.1785,119.1,22.15,60.78,0.07056,0.7036,0.017,1
0.06963,0.0849,0.09836,0.1678,10.01,0.08751,0.3282,0.005822,59.2,260.9,0.2341,0.07721,310.1,9.173,0.05087,65.59,13.86,23.52,0.03938,0.4098,0.04192,0
0.0659,0.1031,0.1851,0.4061,17.09,0.1262,0.3383,0.003601,82.69,499.0,0.1905,0.1122,888.3,12.68,0.1716,111.8,23.84,36.46,0.02648,0.4255,0.01635,1
0.06654,0.08911,0.1648,0.3416,17.31,0.1479,0.3321,0.003224,97.4,668.3,0.1953,0.1172,925.1,14.78,0.1614,114.6,23.94,35.24,0.0231,0.3577,0.019,1
0.06899,0.09211,0.1548,0.1664,10.41,0.07773,0.2878,0.004237,60.11,269.4,0.1717,0.1044,330.7,9.465,0.06517,67.03,21.01,14.2,0.01755,0.2351,0.02279,0
0.05667,0.06641,0.129,0.09148,12.33,0.04701,0.24,0.002146,71.8,394.1,0.1516,0.08139,466.7,11.31,0.06961,78.0,19.04,18.15,0.009216,0.2727,0.02183,0
0.08046,0.1175,0.1482,0.4365,10.31,0.1413,0.4228,0.009559,58.79,250.5,0.2111,0.1066,324.7,9.029,0.175,65.5,17.33,17.67,0.08606,0.3274,0.04197,0
0.05653,0.0641,0.1296,0.07061,13.46,0.05234,0.2383,0.001906,81.37,502.5,0.159,0.09831,554.9,12.78,0.05882,85.67,16.49,18.33,0.005612,0.2368,0.02254,0
0.05461,0.06589,0.1193,0.2336,24.86,0.1029,0.2551,0.001698,123.6,1130.0,0.1582,0.09009,1866.0,18.94,0.1789,165.9,21.31,96.05,0.01652,0.7888,0.01386,1
0.0898,0.1084,0.1207,0.2436,9.733,0.1531,0.2254,0.02193,58.79,244.0,0.1902,0.09783,284.4,8.888,0.04786,62.56,14.64,25.44,0.09368,0.5262,0.02541,0
0.06487,0.1339,0.1585,0.7394,23.32,0.183,0.3313,0.006299,114.2,929.4,0.1927,0.1071,1681.0,17.2,0.1899,151.6,24.52,69.47,0.05616,0.5907,0.01527,1
0.06566,0.103,0.1411,0.3542,16.57,0.128,0.2589,0.00313,90.43,584.1,0.1662,0.1007,812.4,13.8,0.1383,110.3,15.79,23.35,0.02065,0.2787,0.0122,1
0.05914,0.07609,0.1176,0.1843,14.11,0.06829,0.2618,0.002304,79.19,470.9,0.172,0.09172,611.1,12.31,0.0866,89.71,16.52,19.68,0.01819,0.2505,0.01386,0
0.05391,0.06387,0.15,0.2045,19.77,0.08424,0.265,0.001948,104.1,817.7,0.1798,0.09168,1223.0,16.07,0.152,128.8,19.65,79.25,0.02203,0.7474,0.0155,1
0.06641,0.07191,0.1451,0.1379,14.08,0.1047,0.271,0.006164,87.91,559.2,0.2403,0.1291,605.5,13.53,0.07407,91.36,10.94,32.65,0.02839,0.4101,0.02572,0
0.06673,0.1108,0.1478,0.5634,22.39,0.2146,0.3751,0.007054,120.2,1006.0,0.2152,0.1065,1610.0,18.05,0.2102,150.1,16.15,134.8,0.05839,0.9806,0.02591,1
0.08142,0.09964,0.1639,0.6164,23.37,0.3454,0.544,0.005987,143.7,1245.0,0.2906,0.1286,1623.0,20.18,0.2508,170.3,23.97,116.4,0.06835,0.9317,0.07895,1
0.05997,0.07918,0.1289,0.2141,14.24,0.09546,0.2779,0.002848,83.19,506.3,0.1718,0.09934,622.1,12.86,0.07926,91.88,18.0,20.35,0.01661,0.2655,0.01748,0
0.07005,0.08851,0.1557,0.1676,13.11,0.09362,0.2762,0.003976,73.81,401.5,0.1842,0.1102,525.1,11.45,0.06127,84.53,20.97,24.62,0.01706,0.3251,0.01816,0
0.06902,0.1016,0.1536,0.4791,15.53,0.1535,0.3527,0.004603,86.49,520.0,0.1942,0.1078,614.9,13.34,0.1708,96.66,15.86,12.96,0.03575,0.286,0.02134,0
0.06782,0.1051,0.1573,0.6076,30.0,0.2665,0.2355,0.005893,171.5,1878.0,0.1829,0.1063,2562.0,25.22,0.2867,211.7,24.91,120.0,0.05693,0.8973,0.01065,1
0.07224,0.09203,0.1392,0.2817,20.33,0.1791,0.2311,0.01039,129.1,1132.0,0.1634,0.1215,1298.0,19.1,0.1841,141.3,26.29,67.1,0.0605,0.519,0.03056,1
0.05968,0.07924,0.1377,0.2003,13.67,0.07165,0.3379,0.002607,76.95,443.3,0.2079,0.09723,567.9,12.0,0.07632,87.78,15.65,16.16,0.01812,0.2271,0.01972,0
0.06022,0.08579,0.1398,0.2089,22.93,0.1053,0.3695,0.003755,121.1,1075.0,0.2132,0.09874,1603.0,18.46,0.1642,152.2,18.52,80.6,0.01649,0.6997,0.0237,1
0.05636,0.06846,0.1306,0.1976,16.21,0.09947,0.302,0.003249,94.25,648.2,0.2075,0.09444,808.9,14.48,0.1225,108.4,21.46,38.87,0.02983,0.4204,0.02418,1
0.05629,0.09288,0.1249,0.3206,24.56,0.1206,0.3956,0.003337,122.0,1076.0,0.1953,0.09029,1623.0,19.02,0.1956,152.9,24.59,57.65,0.01842,0.5495,0.01964,1
0.06404,0.09261,0.1304,0.2463,13.83,0.09445,0.2972,0.004463,79.78,466.1,0.193,0.08772,574.7,12.36,0.1205,91.46,21.8,20.95,0.02493,0.2978,0.01958,0
0.06346,0.08473,0.1277,0.3089,16.34,0.1339,0.3151,0.004841,95.77,651.9,0.2116,0.1132,803.6,14.64,0.1397,109.4,15.24,42.76,0.04412,0.5115,0.02427,0
0.05866,0.07246,0.1115,0.1766,16.11,0.08606,0.2522,0.002893,94.57,662.7,0.1685,0.08974,803.7,14.62,0.06946,102.9,24.02,33.76,0.01818,0.3721,0.02085,0
0.06097,0.06828,0.1257,0.1997,16.43,0.1036,0.2556,0.002142,100.2,728.2,0.1717,0.092,830.9,15.37,0.1476,107.5,22.76,29.44,0.02444,0.3129,0.02471,1
0.05318,0.06206,0.1006,0.1238,16.36,0.05055,0.2027,0.001435,84.74,551.7,0.1386,0.07355,830.6,13.27,0.1001,104.5,14.76,36.35,0.01038,0.4057,0.01069,0
0.0571,0.06603,0.1339,0.1751,15.1,0.08165,0.2678,0.001817,86.6,555.1,0.1638,0.1022,699.4,13.45,0.07911,97.59,18.3,25.22,0.01491,0.295,0.01884,0
0.06284,0.08234,0.1551,0.4203,18.23,0.1553,0.2834,0.00352,100.3,705.6,0.1855,0.1039,1025.0,15.06,0.2115,123.5,19.83,47.14,0.03715,0.4768,0.01498,1
0.05649,0.08368,0.119,0.3539,24.22,0.1313,0.3689,0.004411,132.4,1264.0,0.2095,0.09078,1750.0,20.26,0.1573,156.1,23.03,87.87,0.03482,0.7576,0.02657,1
0.06635,0.07376,0.114,0.09358,12.83,0.07057,0.2227,0.003408,77.79,451.1,0.19,0.1045,495.2,12.18,0.05882,82.14,17.84,24.44,0.01179,0.3661,0.0222,0
0.0689,0.08988,0.1316,0.09473,10.92,0.05301,0.1934,0.005667,62.11,294.5,0.135,0.1024,366.1,9.787,0.02381,68.81,19.94,20.05,0.01463,0.335,0.01801,0
0.06582,0.08756,0.1431,0.1851,13.06,0.07525,0.2772,0.002551,74.34,412.6,0.162,0.08983,512.5,11.6,0.08449,82.96,12.84,15.75,0.0133,0.2315,0.01651,0
0.0639,0.09353,0.1431,0.3026,16.33,0.1141,0.2718,0.004452,94.48,642.5,0.1879,0.09752,826.4,14.42,0.1565,109.5,19.77,26.85,0.02895,0.2895,0.01462,1
0.05871,0.07397,0.1265,0.1943,16.99,0.08511,0.2651,0.002355,88.05,582.7,0.1609,0.09488,906.5,13.61,0.1184,108.6,24.98,43.14,0.01488,0.4565,0.01465,1
0.07818,0.09382,0.1584,0.1202,7.93,0.07568,0.2932,0.0041,43.79,143.5,0.193,0.117,185.2,6.981,0.0,50.41,13.43,9.833,0.01084,0.2241,0.02659,0
0.05677,0.06878,0.1123,0.08862,13.34,0.04038,0.2694,0.001532,77.22,458.7,0.1739,0.08013,547.8,12.18,0.07431,84.58,20.52,14.68,0.006098,0.1924,0.01447,0
0.06322,0.0849,0.1559,0.2302,10.76,0.09697,0.2622,0.00357,63.95,298.3,0.1945,0.1005,361.2,9.876,0.09749,72.22,19.4,11.77,0.02196,0.1803,0.01609,0
0.06481,0.07552,0.1219,0.1486,11.54,0.08578,0.2826,0.003451,67.41,336.1,0.2217,0.09989,402.8,10.49,0.03203,74.22,19.29,23.13,0.02219,0.355,0.0271,0
0.07692,0.1405,0.1862,0.4099,16.31,0.1765,0.3147,0.007098,87.21,530.2,0.1925,0.1398,827.2,13.11,0.1986,106.4,15.56,34.66,0.02912,0.3908,0.01547,1
0.0652,0.09097,0.1688,0.266,13.14,0.1017,0.2806,0.00384,75.17,412.5,0.1801,0.1142,521.7,11.64,0.1218,85.51,18.33,20.62,0.0231,0.306,0.01565,0
0.06066,0.07185,0.1184,0.1963,13.29,0.06815,0.2983,0.001356,79.01,466.7,0.1602,0.08477,544.1,12.36,0.08442,85.56,18.54,9.227,0.01047,0.1199,0.01251,0
0.07039,0.09789,0.1701,0.6997,28.4,0.2768,0.4055,0.005037,152.8,1509.0,0.2556,0.1326,2360.0,22.27,0.291,206.8,19.67,170.0,0.08668,1.215,0.03112,1
0.06529,0.08832,0.1699,0.2196,13.01,0.06575,0.2829,0.002477,72.48,396.5,0.1487,0.08759,518.1,11.34,0.08278,83.99,21.26,16.41,0.01557,0.2344,0.01568,0
0.07065,0.08468,0.1467,0.1765,11.05,0.08404,0.2533,0.004638,62.5,290.2,0.1584,0.1037,367.0,9.777,0.05334,71.68,16.99,22.87,0.02932,0.403,0.03281,0
0.0707,0.08486,0.1287,0.225,13.33,0.1209,0.2226,0.005891,82.15,480.4,0.1735,0.09933,527.4,12.63,0.1105,89.0,20.76,20.48,0.04042,0.3424,0.02144,0
0.07769,0.1082,0.08949,0.4193,15.3,0.2233,0.2398,0.01298,97.83,629.9,0.1704,0.07837,709.0,14.26,0.1505,107.0,19.65,29.25,0.07446,0.3628,0.02566,0
0.07782,0.09026,0.13,0.2049,11.16,0.1303,0.2383,0.006792,68.64,334.2,0.1922,0.1122,374.4,10.51,0.06136,72.62,20.19,19.91,0.03747,0.3336,0.02287,0
0.07633,0.1017,0.1724,0.2364,9.628,0.08201,0.2926,0.003806,55.84,230.9,0.1649,0.115,284.4,8.726,0.105,64.48,15.83,8.966,0.02213,0.1665,0.01708,0
0.06194,0.08541,0.15,0.2399,13.67,0.07849,0.2438,0.003856,76.53,438.6,0.1688,0.09768,583.0,11.93,0.07247,87.54,21.53,24.79,0.02507,0.3118,0.01278,0
0.07163,0.07722,0.1179,0.1879,9.414,0.1243,0.1652,0.005601,58.74,245.2,0.1305,0.09462,270.0,8.95,0.03846,63.34,15.76,16.94,0.0676,0.3132,0.02384,0
0.06768,0.1065,0.1878,0.448,18.81,0.1649,0.3585,0.003884,98.64,682.5,0.2157,0.1162,1095.0,14.87,0.2027,127.1,16.67,41.18,0.02563,0.4266,0.01602,1
0.07331,0.1252,0.1855,0.4925,20.19,0.1752,0.3274,0.005984,105.7,782.6,0.2096,0.1155,1272.0,15.78,0.2034,130.3,22.91,58.63,0.03976,0.552,0.01495,1
0.05025,0.06111,0.1072,0.1202,20.58,0.06722,0.4882,0.001902,114.2,982.0,0.2129,0.08402,1261.0,17.95,0.1185,129.2,20.01,54.04,0.008422,0.5506,0.05014,1
0.06113,0.08523,0.1548,0.239,12.82,0.06685,0.3016,0.002206,73.34,403.3,0.1667,0.09373,510.5,11.41,0.08958,83.74,10.82,10.5,0.01529,0.1408,0.01344,0
0.06213,0.08456,0.1503,0.2291,22.25,0.11,0.2894,0.00457,121.4,1077.0,0.1966,0.1054,1549.0,18.66,0.1674,145.4,17.12,90.47,0.02101,0.7128,0.02045,1
0.06877,0.08009,0.1696,0.4244,26.02,0.2867,0.3222,0.009875,166.2,1761.0,0.2655,0.1447,2073.0,24.25,0.2248,180.9,20.2,233.0,0.09806,1.509,0.04547,1
0.06402,0.08006,0.1313,0.1788,15.7,0.1099,0.2889,0.002808,94.28,640.7,0.1856,0.1101,745.5,14.5,0.1221,102.8,10.89,24.19,0.01276,0.2929,0.0191,0
0.05823,0.07628,0.1025,0.2531,14.26,0.07325,0.2048,0.004076,86.1,553.5,0.1422,0.07115,632.1,13.37,0.08978,91.99,16.39,14.66,0.0327,0.1639,0.01208,0
0.0589,0.07182,0.1157,0.135,15.49,0.06136,0.2364,0.001708,88.44,588.7,0.1614,0.08785,725.9,13.85,0.05104,100.3,17.21,17.91,0.009169,0.2185,0.01247,0
0.0613,0.079,0.1471,0.2884,16.89,0.07862,0.347,0.001465,87.76,572.6,0.1761,0.09258,848.7,13.61,0.1329,113.2,24.69,19.83,0.01174,0.231,0.01323,1
0.05044,0.06541,0.1021,0.2264,22.32,0.08028,0.2841,0.002686,123.4,1138.0,0.1946,0.08217,1538.0,19.0,0.1218,148.2,18.91,81.23,0.02731,0.6896,0.0203,1
0.06467,0.07779,0.1386,0.2883,16.11,0.1807,0.259,0.004984,99.58,674.5,0.2001,0.115,762.6,15.1,0.1423,105.9,16.39,39.84,0.04185,0.4309,0.02353,0
0.06113,0.08465,0.1275,0.3861,22.63,0.1589,0.3305,0.003224,130.4,1192.0,0.2202,0.1015,1589.0,19.79,0.1732,148.7,25.12,63.33,0.03179,0.4953,0.01578,1
0.06471,0.09241,0.1427,0.2585,13.34,0.09509,0.3469,0.004143,79.08,455.8,0.188,0.1066,545.2,12.19,0.08187,91.38,13.29,15.24,0.02456,0.2005,0.02662,0
0.05796,0.08019,0.1546,0.2394,19.26,0.1223,0.2837,0.002461,101.7,748.9,0.1931,0.1092,1156.0,15.46,0.1514,124.9,19.48,48.31,0.01484,0.4743,0.01397,1
0.05891,0.07619,0.1395,0.3055,19.47,0.1284,0.348,0.002373,106.2,809.8,0.216,0.1008,1175.0,16.16,0.1312,129.7,21.54,43.68,0.01952,0.4332,0.01535,1
0.05723,0.07071,0.1223,0.1949,17.5,0.09462,0.2723,0.00233,102.0,761.7,0.1816,0.09462,922.8,15.71,0.1374,114.3,13.93,27.94,0.01515,0.3117,0.01669,0
0.05727,0.0761,0.1465,0.2275,22.52,0.09709,0.3109,0.002205,120.2,1075.0,0.1692,0.0943,1590.0,18.45,0.1379,145.6,21.91,68.35,0.01422,0.5959,0.01492,1
0.06065,0.08067,0.1419,0.1523,14.49,0.05761,0.2829,0.002629,81.72,506.3,0.1585,0.09055,653.6,12.77,0.09331,92.04,22.47,19.87,0.01202,0.2367,0.01647,1
0.05945,0.07343,0.1271,0.1028,13.33,0.06095,0.1712,0.003707,74.72,423.6,0.1339,0.1051,546.7,11.71,0.06968,86.16,16.67,34.37,0.0138,0.4489,0.01359,0
0.05865,0.06765,0.119,0.1648,12.32,0.06889,0.2676,0.001588,73.06,399.8,0.1734,0.09639,462.0,11.43,0.08476,79.93,15.39,12.67,0.01521,0.1759,0.01501,0
0.06216,0.07147,0.1411,0.2164,18.55,0.1305,0.3414,0.002887,96.85,678.1,0.1957,0.1167,971.4,14.95,0.1667,121.4,17.57,101.9,0.0348,1.296,0.05168,1
